商品标题,规格,商品价格,平台,日期,对照标题,对照价格,对照平台,对照日期,对照规格,干净标题,干净规格,干净价格,干净平台,干净日期,价格质量标记,日期质量标记,未知平台标志,规格质量标记
同仁堂 气血双补丸 9袋/盒 正品保障,9袋/盒,30.8元,京东,2026/3/18,同仁堂 气血双补丸 9袋/盒 正品保障,30.8元,京东,2026/3/18,9袋/盒,同仁堂 气血双补丸 9袋/盒,9袋/盒,30.8,京东,2026-03-18 00:00:00,False,False,False,False
[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,9袋/盒,￥30.20,京东自营,2026/3/19,[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,￥30.20,京东自营,2026/3/19,9袋/盒,[同仁堂] 气血双补丸 9袋/盒,9袋/盒,30.2,京东,2026-03-19 00:00:00,False,False,False,False
北京同仁堂 气血双补丸 9袋/盒 到手更划算,9袋/盒,到手价29.9元,JD,2026年3月20日,北京同仁堂 气血双补丸 9袋/盒 到手更划算,到手价29.9元,JD,2026年3月20日,9袋/盒,北京同仁堂 气血双补丸 9袋/盒 到手更划算,9袋/盒,29.9,京东,2026-03-20 00:00:00,False,False,False,False
同仁堂气血双补丸 9 袋 / 盒 热卖爆款,9袋/盒,29.3,淘宝,3月21日,同仁堂气血双补丸 9 袋 / 盒 热卖爆款,29.3,淘宝,3月21日,9袋/盒,同仁堂气血双补丸 9 袋 / 盒,9袋/盒,29.3,淘宝,2026-03-21 00:00:00,False,False,False,False
同仁堂 气血双补丸 九袋装,9袋/盒,现价30.5元,天猫,2026/3/22 10:30,同仁堂 气血双补丸 九袋装,现价30.5元,天猫,2026/3/22 10:30,9袋/盒,同仁堂 气血双补丸 九袋装,9袋/盒,30.5,淘宝,2026-03-22 10:30:00,False,False,False,False
同仁堂 气血双补丸 9袋/盒 正品保障,9袋/盒,券后29.0元,TB,2026/3/23 9:15,同仁堂 气血双补丸 9袋/盒 正品保障,券后29.0元,TB,2026/3/23 9:15,9袋/盒,同仁堂 气血双补丸 9袋/盒,9袋/盒,29.0,淘宝,2026-03-23 09:15:00,False,False,False,False
[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,9袋/盒,,拼多多,2026/3/24,[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,,拼多多,2026/3/24,9袋/盒,[同仁堂] 气血双补丸 9袋/盒,9袋/盒,,拼多多,2026-03-24 00:00:00,True,False,False,False
同仁堂 气血双补丸 9袋/盒 到手价19.9元 领券立减,9袋/盒,￥20.33,PDD,2026年3月25日,同仁堂 气血双补丸 9袋/盒 到手价19.9元 领券立减,￥20.33,PDD,2026年3月25日,9袋/盒,同仁堂 气血双补丸 9袋/盒 到手价19.9元,9袋/盒,20.33,拼多多,2026-03-25 00:00:00,False,False,False,False
同仁堂气血双补丸 9 袋 / 盒 热卖爆款,9袋/盒,22.4,拼夕夕,3月26日,同仁堂气血双补丸 9 袋 / 盒 热卖爆款,22.4,拼夕夕,3月26日,9袋/盒,同仁堂气血双补丸 9 袋 / 盒,9袋/盒,22.4,拼多多,2026-03-26 00:00:00,False,False,False,False
同仁堂 气血双补丸 九袋装,9 袋 / 盒,售价29.9元,抖音,2026/3/27 18:20,同仁堂 气血双补丸 九袋装,售价29.9元,抖音,2026/3/27 18:20,9 袋 / 盒,同仁堂 气血双补丸 九袋装,9袋/盒,29.9,抖音,2026-03-27 18:20:00,False,False,False,False
[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,500ml,498元,京东,2026/3/18,[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,498元,京东,2026/3/18,500ml,[鸿茅]鸿茅药酒 500ml 1盒装,500ml,498.0,京东,2026-03-18 00:00:00,False,False,False,False
鸿茅药酒 500 ML 官方旗舰店,500ml,￥150.00,京东自营,2026/3/19,鸿茅药酒 500 ML 官方旗舰店,￥150.00,京东自营,2026/3/19,500ml,鸿茅药酒 500 ML,500ml,150.0,京东,2026-03-19 00:00:00,False,False,False,False
鸿茅药酒500毫升 祛风除湿 补气通络,250ml,到手价298元,JD,2026年3月20日,鸿茅药酒500毫升 祛风除湿 补气通络,到手价298元,JD,2026年3月20日,250ml,鸿茅药酒500毫升 祛风除湿 补气通络,250ml,298.0,京东,2026-03-20 00:00:00,False,False,False,False
鸿茅 500ml 药酒 热卖爆款,500ml,360,淘宝,3月21日,鸿茅 500ml 药酒 热卖爆款,360,淘宝,3月21日,500ml,鸿茅 500ml 药酒,500ml,360.0,淘宝,2026-03-21 00:00:00,False,False,False,False
鸿茅药酒 500ml 限时秒杀,500ml,现价270.7元,天猫,2026/3/22 10:30,鸿茅药酒 500ml 限时秒杀,现价270.7元,天猫,2026/3/22 10:30,500ml,鸿茅药酒 500ml,500ml,270.7,淘宝,2026-03-22 10:30:00,False,False,False,False
[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,500ml,券后123元,TB,2026/3/23 9:15,[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,券后123元,TB,2026/3/23 9:15,500ml,[鸿茅]鸿茅药酒 500ml 1盒装,500ml,123.0,淘宝,2026-03-23 09:15:00,False,False,False,False
鸿茅药酒 500 ML 官方旗舰店,500ml,,拼多多,2026/3/24,鸿茅药酒 500 ML 官方旗舰店,,拼多多,2026/3/24,500ml,鸿茅药酒 500 ML,500ml,,拼多多,2026-03-24 00:00:00,True,False,False,False
鸿茅药酒500毫升 祛风除湿 补气通络,500ml,￥699.00,PDD,2026年3月25日,鸿茅药酒500毫升 祛风除湿 补气通络,￥699.00,PDD,2026年3月25日,500ml,鸿茅药酒500毫升 祛风除湿 补气通络,500ml,699.0,拼多多,2026-03-25 00:00:00,False,False,False,False
鸿茅药酒 500ml 到手价26.9元 正品保障,500ml,650,拼夕夕,3月26日,鸿茅药酒 500ml 到手价26.9元 正品保障,650,拼夕夕,3月26日,500ml,鸿茅药酒 500ml 到手价26.9元,500ml,650.0,拼多多,2026-03-26 00:00:00,False,False,False,False
鸿茅药酒 500ml 限时秒杀,500ml,售价399元,抖音,2026/3/27 18:20,鸿茅药酒 500ml 限时秒杀,售价399元,抖音,2026/3/27 18:20,500ml,鸿茅药酒 500ml,500ml,399.0,抖音,2026-03-27 18:20:00,False,False,False,False
东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,46.4元,京东,2026/3/18,东阿阿胶 复方阿胶浆 20ml*12支,46.4元,京东,2026/3/18,20ml*12支,东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,46.4,京东,2026-03-18 00:00:00,False,False,False,False
[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,20ml*12支,￥45.45,京东自营,2026/3/19,[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,￥45.45,京东自营,2026/3/19,20ml*12支,[东阿阿胶]复方阿胶浆 20ml×12支,20ml*12支,45.45,京东,2026-03-19 00:00:00,False,False,False,False
东阿阿胶复方阿胶浆 20ml*12支 买1送1,20ml*12支,到手价45.0元,JD,2026年3月20日,东阿阿胶复方阿胶浆 20ml*12支 买1送1,到手价45.0元,JD,2026年3月20日,20ml*12支,东阿阿胶复方阿胶浆 20ml*12支,20ml*12支,45.0,京东,2026-03-20 00:00:00,False,False,False,False
东阿阿胶 复方阿胶浆 12支装,20ml*12支,44.1,,3月21日,东阿阿胶 复方阿胶浆 12支装,44.1,,3月21日,20ml*12支,东阿阿胶 复方阿胶浆 12支装,20ml*12支,44.1,未知平台,2026-03-21 00:00:00,False,False,True,False
东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,现价45.9元,天猫,2026/3/22 10:30,东阿阿胶 复方阿胶浆 20毫升*12支,现价45.9元,天猫,2026/3/22 10:30,20ml*12支,东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,45.9,淘宝,2026-03-22 10:30:00,False,False,False,False
东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,券后43.6元,TB,2026/3/23 9:15,东阿阿胶 复方阿胶浆 20ml*12支,券后43.6元,TB,2026/3/23 9:15,20ml*12支,东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,43.6,淘宝,2026-03-23 09:15:00,False,False,False,False
[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,20ml*12支,,拼多多,2026/3/24,[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,,拼多多,2026/3/24,20ml*12支,[东阿阿胶]复方阿胶浆 20ml×12支,20ml*12支,,拼多多,2026-03-24 00:00:00,True,False,False,False
东阿阿胶复方阿胶浆 20ml*12支 买1送1,20 ML * 12支,￥30.60,PDD,2026年3月25日,东阿阿胶复方阿胶浆 20ml*12支 买1送1,￥30.60,PDD,2026年3月25日,20 ML * 12支,东阿阿胶复方阿胶浆 20ml*12支,20ml*12支,30.6,拼多多,2026-03-25 00:00:00,False,False,False,False
东阿阿胶 复方阿胶浆 12支装,20ml*12支,33.8,拼夕夕,3月26日,东阿阿胶 复方阿胶浆 12支装,33.8,拼夕夕,3月26日,20ml*12支,东阿阿胶 复方阿胶浆 12支装,20ml*12支,33.8,拼多多,2026-03-26 00:00:00,False,False,False,False
东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,售价45.0元,抖音,2026/3/27 18:20,东阿阿胶 复方阿胶浆 20毫升*12支,售价45.0元,抖音,2026/3/27 18:20,20ml*12支,东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,45.0,抖音,2026-03-27 18:20:00,False,False,False,False
广誉远 定坤丹 6丸/盒,6丸/盒,60.8元,京东,2026/3/18,广誉远 定坤丹 6丸/盒,60.8元,京东,2026/3/18,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,60.8,京东,2026-03-18 00:00:00,False,False,False,False
