商品标题,规格,商品价格,平台,日期
同仁堂 气血双补丸 9袋/盒 正品保障,9袋/盒,30.8元,京东,2026/3/18
[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,9袋/盒,￥30.20,京东自营,2026/3/19
北京同仁堂 气血双补丸 9袋/盒 到手更划算,9袋/盒,到手价29.9元,JD,2026年3月20日
同仁堂气血双补丸 9 袋 / 盒 热卖爆款,9袋/盒,29.3,淘宝,3月21日
同仁堂 气血双补丸 九袋装,9袋/盒,现价30.5元,天猫,2026/3/22 10:30
同仁堂 气血双补丸 9袋/盒 正品保障,9袋/盒,券后29.0元,TB,2026/3/23 9:15
[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,9袋/盒,,拼多多,2026/3/24
同仁堂 气血双补丸 9袋/盒 到手价19.9元 领券立减,9袋/盒,￥20.33,PDD,2026年3月25日
同仁堂气血双补丸 9 袋 / 盒 热卖爆款,9袋/盒,22.4,拼夕夕,3月26日
同仁堂 气血双补丸 九袋装,9 袋 / 盒,售价29.9元,抖音,2026/3/27 18:20
[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,500ml,498元,京东,2026/3/18
鸿茅药酒 500 ML 官方旗舰店,500ml,￥150.00,京东自营,2026/3/19
鸿茅药酒500毫升 祛风除湿 补气通络,250ml,到手价298元,JD,2026年3月20日
鸿茅 500ml 药酒 热卖爆款,500ml,360,淘宝,3月21日
鸿茅药酒 500ml 限时秒杀,500ml,现价270.7元,天猫,2026/3/22 10:30
[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,500ml,券后123元,TB,2026/3/23 9:15
鸿茅药酒 500 ML 官方旗舰店,500ml,,拼多多,2026/3/24
鸿茅药酒500毫升 祛风除湿 补气通络,500ml,￥699.00,PDD,2026年3月25日
鸿茅药酒 500ml 到手价26.9元 正品保障,500ml,650,拼夕夕,3月26日
鸿茅药酒 500ml 限时秒杀,500ml,售价399元,抖音,2026/3/27 18:20
东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,46.4元,京东,2026/3/18
[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,20ml*12支,￥45.45,京东自营,2026/3/19
东阿阿胶复方阿胶浆 20ml*12支 买1送1,20ml*12支,到手价45.0元,JD,2026年3月20日
东阿阿胶 复方阿胶浆 12支装,20ml*12支,44.1,,3月21日
东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,现价45.9元,天猫,2026/3/22 10:30
东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,券后43.6元,TB,2026/3/23 9:15
[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,20ml*12支,,拼多多,2026/3/24
东阿阿胶复方阿胶浆 20ml*12支 买1送1,20 ML * 12支,￥30.60,PDD,2026年3月25日
东阿阿胶 复方阿胶浆 12支装,20ml*12支,33.8,拼夕夕,3月26日
东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,售价45.0元,抖音,2026/3/27 18:20
广誉远 定坤丹 6丸/盒,6丸/盒,60.8元,京东,2026/3/18
[广誉远]定坤丹 6丸/盒 官方旗舰店,6丸/盒,￥59.59,京东自营,2026/3/19
广誉远定坤丹 六丸装 正品保障,6丸/盒,到手价59.0元,JD,2026年3月20日
广誉远 定坤丹 6丸/盒 限时秒杀,6丸/盒,57.82,淘宝,3月21日
广誉远 定坤丹 6丸盒装,6丸/盒,现价60.2元,天猫,2026/3/22 10:30
广誉远 定坤丹 6丸/盒,6丸/盒,券后57.2元,TB,2026/3/23 9:15
广誉远 定坤丹 6丸/盒 到手价39.9元,6丸/盒,,拼多多,2026/3/24
广誉远定坤丹 六丸装 正品保障,6丸/盒,￥40.12,PDD,2026年3月25日
广誉远 定坤丹 6丸/盒 限时秒杀,6丸/盒,44.2,拼夕夕,3月26日
广誉远 定坤丹 6丸盒装,6丸/盒,售价59.0元,抖音,2026/3/27 18:20
九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,33.0元,京东,2026/3/18
[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,30袋/盒,￥32.32,京东自营,2026/3/19
九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,到手价32.0元,JD,2026年3月20日
九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,30袋/盒,31.36,淘宝,3月21日
九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,现价32.6元,天猫,2026/3/22 10:30
九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,券后31.0元,TB,2026/3/23 9:15
[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,30袋/盒,,拼多多,2026/3/24
九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,￥21.76,PDD,2026年3月25日
九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,30 袋 / 盒,24,拼夕夕,3月26日
九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,售价32.0元,抖音,2026/3/27 18:20
