商品标题,规格,商品价格,平台,日期,对照标题,对照价格,对照平台,对照日期,对照规格,干净标题,干净规格,干净价格,干净平台,干净日期,价格质量标记,日期质量标记,未知平台标志,规格质量标记,标准化品牌,标题规范提示,规范化规格,规范来源,标题规格不匹配标志,缺失品牌标志,缺少规范化规范标志,组内有效价格样本数,组内均价,组内最低价,组内最高价,当前价格/组均价比,跨平台价差比例,显式低价阈值,命中显式低价规则,命中统计低价规则,低价规则来源,是否疑似异常低价,是否跨平台价差异常,是否规格识别风险,是否存在任一异常,异常原因
同仁堂 气血双补丸 9袋/盒 正品保障,9袋/盒,30.8元,京东,2026/3/18,同仁堂 气血双补丸 9袋/盒 正品保障,30.8元,京东,2026/3/18,9袋/盒,同仁堂 气血双补丸 9袋/盒,9袋/盒,30.8,京东,2026-03-18 00:00:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.0985614076804187,0.339935064935065,,False,False,,False,False,False,False,
[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,9袋/盒,￥30.20,京东自营,2026/3/19,[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,￥30.20,京东自营,2026/3/19,9袋/盒,[同仁堂] 气血双补丸 9袋/盒,9袋/盒,30.2,京东,2026-03-19 00:00:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.0771608607775531,0.339935064935065,,False,False,,False,False,False,False,
北京同仁堂 气血双补丸 9袋/盒 到手更划算,9袋/盒,到手价29.9元,JD,2026年3月20日,北京同仁堂 气血双补丸 9袋/盒 到手更划算,到手价29.9元,JD,2026年3月20日,9袋/盒,北京同仁堂 气血双补丸 9袋/盒 到手更划算,9袋/盒,29.9,京东,2026-03-20 00:00:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.0664605873261206,0.339935064935065,,False,False,,False,False,False,False,
同仁堂气血双补丸 9 袋 / 盒 热卖爆款,9袋/盒,29.3,淘宝,3月21日,同仁堂气血双补丸 9 袋 / 盒 热卖爆款,29.3,淘宝,3月21日,9袋/盒,同仁堂气血双补丸 9 袋 / 盒,9袋/盒,29.3,淘宝,2026-03-21 00:00:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.0450600404232553,0.339935064935065,,False,False,,False,False,False,False,
同仁堂 气血双补丸 九袋装,9袋/盒,现价30.5元,天猫,2026/3/22 10:30,同仁堂 气血双补丸 九袋装,现价30.5元,天猫,2026/3/22 10:30,9袋/盒,同仁堂 气血双补丸 九袋装,9袋/盒,30.5,淘宝,2026-03-22 10:30:00,False,False,False,False,同仁堂,9袋装,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.087861134228986,0.339935064935065,,False,False,,False,False,False,False,
同仁堂 气血双补丸 9袋/盒 正品保障,9袋/盒,券后29.0元,TB,2026/3/23 9:15,同仁堂 气血双补丸 9袋/盒 正品保障,券后29.0元,TB,2026/3/23 9:15,9袋/盒,同仁堂 气血双补丸 9袋/盒,9袋/盒,29.0,淘宝,2026-03-23 09:15:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.0343597669718227,0.339935064935065,,False,False,,False,False,False,False,
[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,9袋/盒,,拼多多,2026/3/24,[同仁堂] 气血双补丸 9袋/盒 官方旗舰店,,拼多多,2026/3/24,9袋/盒,[同仁堂] 气血双补丸 9袋/盒,9袋/盒,,拼多多,2026-03-24 00:00:00,True,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,,0.339935064935065,,False,False,,False,False,False,False,
同仁堂 气血双补丸 9袋/盒 到手价19.9元 领券立减,9袋/盒,￥20.33,PDD,2026年3月25日,同仁堂 气血双补丸 9袋/盒 到手价19.9元 领券立减,￥20.33,PDD,2026年3月25日,9袋/盒,同仁堂 气血双补丸 9袋/盒 到手价19.9元,9袋/盒,20.33,拼多多,2026-03-25 00:00:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,0.725121864225419,0.339935064935065,,False,True,stat_rule,True,True,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=28.04，当前/均价=0.73；跨平台价差过大：最低价=20.33，最高价=30.80，价差比例=0.34
同仁堂气血双补丸 9 袋 / 盒 热卖爆款,9袋/盒,22.4,拼夕夕,3月26日,同仁堂气血双补丸 9 袋 / 盒 热卖爆款,22.4,拼夕夕,3月26日,9袋/盒,同仁堂气血双补丸 9 袋 / 盒,9袋/盒,22.4,拼多多,2026-03-26 00:00:00,False,False,False,False,同仁堂,9袋/盒,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,0.7989537510403043,0.339935064935065,,False,True,stat_rule,True,False,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=28.04，当前/均价=0.80
同仁堂 气血双补丸 九袋装,9 袋 / 盒,售价29.9元,抖音,2026/3/27 18:20,同仁堂 气血双补丸 九袋装,售价29.9元,抖音,2026/3/27 18:20,9 袋 / 盒,同仁堂 气血双补丸 九袋装,9袋/盒,29.9,抖音,2026-03-27 18:20:00,False,False,False,False,同仁堂,9袋装,9袋/盒,spec_column,False,False,False,9,28.036666666666665,20.33,30.8,1.0664605873261206,0.339935064935065,,False,False,,False,False,False,False,
